ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
LUN176	LUN176	168595	1.0000	14099.732	-13033.033	-18863.869	5192.407	-1520.916	-1137.886	-779.716	-322.543	-934.712	1150.132	2242.962	1813.204	3264.213	1613.617	-44.245	-2923.789	-1339.920	-201.306	-618.455	-492.477
LUN177	LUN177	168595	1.0000	4476.310	2270.485	2919.906	1897.678	-2202.559	-1195.813	-2222.198	-281.552	5067.307	162.526	-2022.004	189.689	2013.034	5369.677	1697.323	1886.618	3494.138	172.405	-3998.792	-1308.454
LUN178	LUN178	168595	1.0000	8232.881	614.882	-3480.898	1733.018	2441.837	-70.349	-831.794	-464.309	597.918	989.617	1553.524	2077.742	4447.969	-1187.406	4468.198	-3065.278	-3316.509	-4947.644	1001.536	1896.582
LUN179	LUN179	168595	1.0000	11181.325	739.575	1096.723	3245.038	7964.182	-1028.488	3.964	2704.892	656.093	-399.952	3149.157	-1355.108	1931.130	4454.056	-1071.081	-200.721	-157.200	4829.916	-1385.265	-87.194
LUN180	LUN180	168595	1.0000	7272.182	3401.799	3258.116	3787.735	-5434.647	981.528	-358.696	7121.316	-403.927	1357.629	4481.495	-288.318	755.769	1659.960	-3110.846	-2940.345	1269.699	-286.051	441.153	-53.374
LUN181	LUN181	168595	1.0000	10858.435	4149.194	2969.300	982.036	2879.699	-760.358	-418.637	3589.249	2882.885	-7225.657	1469.765	1574.596	-1440.543	1644.761	-3924.108	-2472.247	-3539.031	591.694	1517.940	-2593.653
LUN182	LUN182	168595	1.0000	4095.392	2733.672	-4886.643	1165.317	-2937.767	-2111.637	899.746	-297.268	-2205.946	2746.057	3371.856	2107.248	-1308.148	-3060.600	-124.686	-3517.658	-164.179	-49.553	-1353.535	7078.565
LUN183	LUN183	168595	1.0000	6496.179	3572.044	1150.806	1973.820	22.583	-2858.497	-1990.007	-87.857	-47.351	-2771.864	2049.237	161.822	-1823.097	-280.418	-322.626	4322.976	-3132.893	941.495	113.849	2311.945
LUN184	LUN184	168595	1.0000	6255.212	5527.927	-70.533	-346.682	2019.700	-2371.583	-320.843	895.481	-1267.055	-588.262	-3894.545	3431.887	2750.909	2708.988	-5219.763	1885.941	5792.860	-5291.873	-4907.878	-1703.543
LUN185	LUN185	168595	1.0000	6012.032	3462.969	3280.180	3575.246	5200.577	-226.641	1040.548	1783.219	-1795.255	-7041.903	-3535.338	-802.750	915.542	-3118.981	-759.448	-1256.254	-1189.945	2604.206	505.058	-3238.481
LUN186	LUN186	168595	1.0000	15642.106	3125.083	4448.562	8068.535	8680.604	-1909.211	349.511	-221.248	844.953	-2890.598	-902.391	3931.197	-2137.104	4944.245	1119.561	299.709	-1933.952	-3916.035	-6403.995	648.344
LUN187	LUN187	168595	1.0000	13040.715	-4216.051	-4060.890	3730.056	2608.951	-883.489	-3983.236	3121.362	2912.827	-2943.751	-3499.678	-1526.295	1342.694	-1956.725	-887.221	3321.514	3543.409	3286.724	-1968.728	-269.198
LUN189	LUN189	168595	1.0000	2952.792	3518.533	-495.394	-165.608	-573.459	-2228.487	2736.757	-70.415	652.266	-2880.327	862.919	-1101.325	-225.778	529.843	2500.786	1829.505	3307.239	4360.875	-1983.201	-1578.335
LUN190	LUN190	168595	1.0000	8085.744	-726.527	631.836	1744.559	3382.232	-1767.592	-1168.581	1459.840	-845.680	860.847	-4139.317	3434.599	1878.205	5326.112	-443.213	-3738.587	959.888	-2525.666	2607.497	5075.964
LUN191	LUN191	168595	1.0000	14563.897	884.111	4984.825	4819.597	9545.706	-2386.684	-1989.898	6497.883	550.525	-5829.492	-666.004	2026.422	1481.144	5229.004	-2170.707	-2376.823	-270.456	2349.394	-2133.736	1120.795
LUN192	LUN192	168595	1.0000	10654.263	765.853	-1176.027	4495.414	4842.475	1566.690	59.150	5036.353	166.464	-3205.094	-4428.316	-231.201	1519.778	980.558	-3517.286	1406.384	1242.532	1407.900	3574.412	1996.541
LUN193	LUN193	168595	1.0000	10624.938	4008.290	3481.451	7679.495	2799.136	-4061.661	-284.717	-1779.522	6810.571	2450.427	-10.194	2894.247	-834.003	2387.312	-3369.049	1039.675	1606.131	1540.038	-723.622	-3553.136
LUN194	LUN194	168595	1.0000	9735.986	914.484	-438.426	1993.646	3893.332	1379.395	-3349.806	2592.336	-2810.657	2921.296	357.904	642.569	4024.489	2826.619	-285.393	-3093.373	1412.035	3979.950	-709.112	-1393.144
LUN195	LUN195	168595	1.0000	8534.436	3203.661	380.927	4523.711	-2133.462	-2276.465	1174.744	3015.524	-1336.596	-142.297	-2886.248	5342.145	-1526.267	3479.898	86.874	1202.955	540.854	1246.306	1350.867	3579.103
LUN196	LUN196	168595	1.0000	8630.485	1240.841	2856.517	1417.835	4729.638	-1726.183	-2824.890	619.572	-1685.772	3158.203	-3730.921	-1487.214	-943.151	811.191	1175.675	841.896	2855.948	100.632	-986.392	-1059.815
LUN197	LUN197	168595	1.0000	10349.899	181.733	1312.434	6298.751	3620.423	-1162.810	-2025.712	1957.200	-1387.187	-830.908	26.575	2470.096	1934.125	2686.050	-2845.073	467.268	1541.158	2373.434	-935.963	2203.267
LUN198	LUN198	168595	1.0000	6833.996	2153.716	4262.339	1751.549	1330.240	-4066.555	-71.107	-3011.256	1181.463	1104.108	-1246.725	2611.937	3339.368	-2758.649	-1768.912	-2651.604	-2657.624	-740.782	-3024.967	4143.451
LUN199	LUN199	168595	1.0000	9712.917	3200.002	-442.946	3992.131	1137.884	625.138	-1196.150	2295.010	-960.449	-2445.441	924.863	3598.478	-3818.285	2770.018	-1509.684	1767.310	2484.380	-5173.579	3108.041	-539.693
LUN200	LUN200	168595	1.0000	9423.505	3265.749	5440.582	4994.795	2926.197	1884.758	-3934.256	2877.439	-1382.911	-443.351	-1680.747	227.648	-2785.057	2762.341	4965.538	1125.420	-732.510	259.246	1444.303	3369.747
LUN201	LUN201	168595	1.0000	1716.739	3237.127	-1155.195	151.737	264.673	-400.403	-673.917	-3302.323	2629.124	2042.271	-3843.900	-8728.239	3255.828	-220.895	-1671.743	-4047.712	-4776.225	1002.115	-25.787	-29.360
LUN202	LUN202	168595	1.0000	10373.681	3461.852	664.354	927.090	5411.010	-1051.161	-2065.792	845.669	2450.355	426.695	-1070.488	3196.865	2164.652	2280.845	-3026.271	-1781.399	3584.425	-877.820	-494.439	683.070
LUN203	LUN203	168595	1.0000	6563.952	-1686.318	-5805.523	1637.264	190.995	-2730.101	-877.927	-321.587	-2885.227	-323.350	-377.980	-1178.031	-530.704	2510.449	2255.952	1761.968	-2514.720	-5276.188	-5952.191	-197.689
LUN204	LUN204	168595	1.0000	10201.830	6438.864	4452.403	5702.279	4852.348	-9537.228	-1933.622	157.835	2656.032	-3382.143	-588.421	656.609	-1865.434	-1434.489	-1052.495	1491.448	-2981.937	-1125.267	-3154.041	4178.674
LUN205	LUN205	168595	1.0000	10353.148	-97.878	-1115.444	3925.330	2529.805	871.839	605.563	488.282	2392.004	-329.834	-1386.675	-571.156	-2300.272	4081.430	-1389.520	251.245	1038.258	989.037	-2827.499	1706.604
LUN206	LUN206	168595	1.0000	3890.155	1213.192	-6035.167	-1752.401	-4764.558	-2197.741	2038.988	-1576.511	-2851.933	2207.801	-2533.079	845.306	-2036.413	3093.226	1958.293	3101.489	1723.715	-23.780	2103.810	968.270
LUN207	LUN207	168595	1.0000	10133.068	-122.300	-5873.236	1711.474	5591.141	-1039.792	407.853	-1994.315	849.951	2737.397	-1639.168	2136.261	-1986.847	1341.899	-6393.925	-1262.290	2225.300	-2761.600	3854.446	6151.374
LUN208	LUN208	168595	1.0000	9427.989	225.983	-1952.214	4590.159	5138.347	-2016.423	-2665.193	563.037	-2008.880	189.148	2135.283	3119.536	2093.253	-152.945	-2915.834	3056.796	-4914.581	-1161.824	-5027.184	4477.254
LUN209	LUN209	168595	1.0000	9412.002	299.401	272.823	920.243	3365.266	-3092.540	728.274	-1781.528	-2525.966	-1048.620	-699.247	3142.444	-289.431	7215.181	-2536.274	-322.304	-213.002	1206.231	-1046.015	1175.502
LUN210	LUN210	168595	1.0000	11008.546	4992.626	3505.844	2814.599	3591.727	3368.865	537.748	7859.910	1605.142	-2446.240	-1099.363	-4305.990	-1709.011	5112.902	255.403	4507.502	-740.773	1296.111	5603.250	5043.980
LUN211	LUN211	168595	1.0000	5725.107	1601.489	932.578	-150.680	-530.609	-285.528	-2133.395	-144.908	220.329	-688.767	1212.446	2448.249	-945.186	3591.367	1461.230	-2097.709	-143.068	3365.580	-60.298	1942.238
LUN212	LUN212	168595	1.0000	6427.396	4717.899	1095.709	571.360	4458.528	-1512.361	67.570	-945.511	1222.956	-927.441	-1021.392	-1951.932	1242.268	727.828	316.269	-1949.918	-1422.396	2845.898	267.316	702.592
LUN214	LUN214	168595	1.0000	10566.666	-1895.565	-4062.268	5229.627	3489.193	-1761.083	-1237.493	467.358	2981.221	-1416.402	4567.020	-1290.439	-220.015	7187.146	1606.540	1634.872	2371.144	3151.448	7422.513	-4482.223
LUN215	LUN215	168595	1.0000	10938.421	5236.599	3955.299	3961.077	4672.363	-720.692	2964.446	1369.524	486.978	2216.434	-1501.883	1437.896	255.602	-2036.982	857.674	-1102.274	-2929.326	-493.804	-7256.097	-3260.836
